patient_id	genes	similarities	Gene stable ID	Gene name
Group_1	ENSG00000184916	0.5709641575813293	ENSG00000184916	JAG2
Group_1	ENSG00000141385	0.5693597793579102	ENSG00000141385	AFG3L2
Group_1	ENSG00000167193	0.5670475959777832	ENSG00000167193	CRK
Group_1	ENSG00000076716	0.565584659576416	ENSG00000076716	GPC4
Group_1	ENSG00000164933	0.564619779586792	ENSG00000164933	SLC25A32
Group_1	ENSG00000050405	0.5600019097328186	ENSG00000050405	LIMA1
Group_1	ENSG00000120899	0.5571946501731873	ENSG00000120899	PTK2B
Group_1	ENSG00000008710	0.5566545724868774	ENSG00000008710	PKD1
Group_1	ENSG00000114742	0.5555026531219482	ENSG00000114742	WDR48
Group_1	ENSG00000009413	0.5554561018943787	ENSG00000009413	REV3L
Group_1	ENSG00000070182	0.5553649663925171	ENSG00000070182	SPTB
Group_1	ENSG00000129116	0.5531501770019531	ENSG00000129116	PALLD
Group_1	ENSG00000143498	0.5520691871643066	ENSG00000143498	TAF1A
Group_1	ENSG00000162946	0.5508261919021606	ENSG00000162946	DISC1
Group_1	ENSG00000082898	0.550656259059906	ENSG00000082898	XPO1
Group_1	ENSG00000091073	0.5504409670829773	ENSG00000091073	DTX2
Group_1	ENSG00000105755	0.5498596429824829	ENSG00000105755	ETHE1
Group_1	ENSG00000114270	0.5484403371810913	ENSG00000114270	COL7A1
Group_1	ENSG00000149177	0.5477633476257324	ENSG00000149177	PTPRJ
Group_1	ENSG00000141449	0.546720027923584	ENSG00000141449	GREB1L
Group_1	ENSG00000121481	0.5466439723968506	ENSG00000121481	RNF2
Group_1	ENSG00000119650	0.5454522371292114	ENSG00000119650	IFT43
Group_1	ENSG00000132305	0.5442264676094055	ENSG00000132305	IMMT
Group_1	ENSG00000104419	0.5415051579475403	ENSG00000104419	NDRG1
Group_1	ENSG00000140092	0.5397905707359314	ENSG00000140092	FBLN5
Group_1	ENSG00000203485	0.5382540225982666	ENSG00000203485	INF2
Group_1	ENSG00000164111	0.5378715395927429	ENSG00000164111	ANXA5
Group_1	ENSG00000111361	0.5378428101539612	ENSG00000111361	EIF2B1
Group_1	ENSG00000138778	0.5376420617103577	ENSG00000138778	CENPE
Group_1	ENSG00000143387	0.5367196798324585	ENSG00000143387	CTSK
Group_1	ENSG00000221829	0.5360183715820312	ENSG00000221829	FANCG
Group_1	ENSG00000173638	0.5330830812454224	ENSG00000173638	SLC19A1
Group_1	ENSG00000077380	0.5319297313690186	ENSG00000077380	DYNC1I2
Group_1	ENSG00000119326	0.5289450287818909	ENSG00000119326	CTNNAL1
Group_1	ENSG00000162733	0.5286253690719604	ENSG00000162733	DDR2
Group_1	ENSG00000165704	0.5268062353134155	ENSG00000165704	HPRT1
Group_1	ENSG00000021826	0.5256319046020508	ENSG00000021826	CPS1
Group_1	ENSG00000104812	0.5197269320487976	ENSG00000104812	GYS1
Group_1	ENSG00000160193	0.519554615020752	ENSG00000160193	WDR4
Group_1	ENSG00000108175	0.5190799236297607	ENSG00000108175	ZMIZ1
Group_1	ENSG00000157542	0.5181080102920532	ENSG00000157542	KCNJ6
Group_1	ENSG00000174720	0.5165214538574219	ENSG00000174720	LARP7
Group_1	ENSG00000013573	0.5150836110115051	ENSG00000013573	DDX11
Group_1	ENSG00000101665	0.5150469541549683	ENSG00000101665	SMAD7
Group_1	ENSG00000177853	0.5133122205734253	ENSG00000177853	ZNF518A
Group_1	ENSG00000125744	0.5127061605453491	ENSG00000125744	RTN2
Group_1	ENSG00000101310	0.5120248198509216	ENSG00000101310	SEC23B
Group_1	ENSG00000134077	0.5114835500717163	ENSG00000134077	THUMPD3
Group_1	ENSG00000013619	0.5109131336212158	ENSG00000013619	MAMLD1
Group_1	ENSG00000173542	0.5108003616333008	ENSG00000173542	MOB1B
Group_1	ENSG00000070159	0.5082823038101196	ENSG00000070159	PTPN3
Group_1	ENSG00000132383	0.5080674886703491	ENSG00000132383	RPA1
Group_1	ENSG00000181404	0.505806565284729	ENSG00000181404	WASHC1
Group_1	ENSG00000006125	0.5044180750846863	ENSG00000006125	AP2B1
Group_1	ENSG00000132541	0.5039248466491699	ENSG00000132541	RIDA
Group_1	ENSG00000007174	0.5026172399520874	ENSG00000007174	DNAH9
Group_1	ENSG00000172379	0.502168595790863	ENSG00000172379	ARNT2
Group_1	ENSG00000178537	0.5014972686767578	ENSG00000178537	SLC25A20
Group_1	ENSG00000124333	0.5009976625442505	ENSG00000124333	VAMP7
Group_10	ENSG00000070808	0.652435302734375	ENSG00000070808	CAMK2A
Group_10	ENSG00000112964	0.6507574915885925	ENSG00000112964	GHR
Group_10	ENSG00000112280	0.6480128169059753	ENSG00000112280	COL9A1
Group_10	ENSG00000166949	0.6456879377365112	ENSG00000166949	SMAD3
Group_10	ENSG00000017427	0.6447431445121765	ENSG00000017427	IGF1
Group_10	ENSG00000117298	0.6204537153244019	ENSG00000117298	ECE1
Group_10	ENSG00000166033	0.6183599233627319	ENSG00000166033	HTRA1
Group_10	ENSG00000060718	0.6117230653762817	ENSG00000060718	COL11A1
Group_10	ENSG00000151617	0.6024821996688843	ENSG00000151617	EDNRA
Group_10	ENSG00000077522	0.5976906418800354	ENSG00000077522	ACTN2
Group_10	ENSG00000162946	0.5877874493598938	ENSG00000162946	DISC1
Group_10	ENSG00000176105	0.5877439379692078	ENSG00000176105	YES1
Group_10	ENSG00000135069	0.5783547163009644	ENSG00000135069	PSAT1
Group_10	ENSG00000166257	0.5727174878120422	ENSG00000166257	SCN3B
Group_10	ENSG00000188517	0.5646624565124512	ENSG00000188517	COL25A1
Group_10	ENSG00000075223	0.5637468099594116	ENSG00000075223	SEMA3C
Group_10	ENSG00000196569	0.5634074807167053	ENSG00000196569	LAMA2
Group_10	ENSG00000149177	0.5630887746810913	ENSG00000149177	PTPRJ
Group_10	ENSG00000104313	0.5619194507598877	ENSG00000104313	EYA1
Group_10	ENSG00000102554	0.5537927150726318	ENSG00000102554	KLF5
Group_10	ENSG00000144227	0.5468717813491821	ENSG00000144227	NXPH2
Group_10	ENSG00000143603	0.5462368726730347	ENSG00000143603	KCNN3
Group_10	ENSG00000172216	0.5455830097198486	ENSG00000172216	CEBPB
Group_10	ENSG00000111799	0.5446717739105225	ENSG00000111799	COL12A1
Group_10	ENSG00000170624	0.5442706942558289	ENSG00000170624	SGCD
Group_10	ENSG00000173511	0.541750431060791	ENSG00000173511	VEGFB
Group_10	ENSG00000163430	0.5412023067474365	ENSG00000163430	FSTL1
Group_10	ENSG00000169071	0.5405260324478149	ENSG00000169071	ROR2
Group_10	ENSG00000204103	0.5400156378746033	ENSG00000204103	MAFB
Group_10	ENSG00000119866	0.5393162965774536	ENSG00000119866	BCL11A
Group_10	ENSG00000006283	0.5335562229156494	ENSG00000006283	CACNA1G
Group_10	ENSG00000138829	0.5326822996139526	ENSG00000138829	FBN2
Group_10	ENSG00000169184	0.5306428670883179	ENSG00000169184	MN1
Group_10	ENSG00000138741	0.5225638747215271	ENSG00000138741	TRPC3
Group_10	ENSG00000132561	0.514997124671936	ENSG00000132561	MATN2
Group_10	ENSG00000184500	0.5137236714363098	ENSG00000184500	PROS1
Group_10	ENSG00000104447	0.5136184096336365	ENSG00000104447	TRPS1
Group_10	ENSG00000153162	0.513145387172699	ENSG00000153162	BMP6
Group_10	ENSG00000168135	0.5113950371742249	ENSG00000168135	KCNJ4
Group_10	ENSG00000197753	0.5095127820968628	ENSG00000197753	LHFPL5
Group_10	ENSG00000134871	0.5093238353729248	ENSG00000134871	COL4A2
Group_10	ENSG00000198846	0.5088080167770386	ENSG00000198846	TOX
Group_10	ENSG00000118495	0.5062863230705261	ENSG00000118495	PLAGL1
Group_10	ENSG00000130202	0.5060654282569885	ENSG00000130202	NECTIN2
Group_10	ENSG00000187498	0.5053263902664185	ENSG00000187498	COL4A1
Group_10	ENSG00000184984	0.5040782690048218	ENSG00000184984	CHRM5
Group_10	ENSG00000044524	0.5017678737640381	ENSG00000044524	EPHA3
Group_10	ENSG00000157193	0.5012343525886536	ENSG00000157193	LRP8
Group_11	ENSG00000141510	0.6741821765899658	ENSG00000141510	TP53
Group_11	ENSG00000134086	0.6279267072677612	ENSG00000134086	VHL
Group_11	ENSG00000196924	0.5912072658538818	ENSG00000196924	FLNA
Group_11	ENSG00000133818	0.5847762823104858	ENSG00000133818	RRAS2
Group_11	ENSG00000070808	0.5770962238311768	ENSG00000070808	CAMK2A
Group_11	ENSG00000065534	0.568943977355957	ENSG00000065534	MYLK
Group_11	ENSG00000189221	0.5617642402648926	ENSG00000189221	MAOA
Group_11	ENSG00000141837	0.5572242736816406	ENSG00000141837	CACNA1A
Group_11	ENSG00000135424	0.5485772490501404	ENSG00000135424	ITGA7
Group_11	ENSG00000165392	0.5424719452857971	ENSG00000165392	WRN
Group_11	ENSG00000010017	0.5356512069702148	ENSG00000010017	RANBP9
Group_11	ENSG00000108375	0.5355731248855591	ENSG00000108375	RNF43
Group_11	ENSG00000108854	0.5340293049812317	ENSG00000108854	SMURF2
Group_11	ENSG00000171094	0.5311453342437744	ENSG00000171094	ALK
Group_11	ENSG00000116106	0.5292341113090515	ENSG00000116106	EPHA4
Group_11	ENSG00000114573	0.5262047648429871	ENSG00000114573	ATP6V1A
Group_11	ENSG00000182621	0.5244911909103394	ENSG00000182621	PLCB1
Group_11	ENSG00000129116	0.523472249507904	ENSG00000129116	PALLD
Group_11	ENSG00000116678	0.5216012001037598	ENSG00000116678	LEPR
Group_11	ENSG00000184349	0.5206429958343506	ENSG00000184349	EFNA5
Group_11	ENSG00000254087	0.5199190378189087	ENSG00000254087	LYN
Group_11	ENSG00000166347	0.5134522318840027	ENSG00000166347	CYB5A
Group_11	ENSG00000071127	0.5120577812194824	ENSG00000071127	WDR1
Group_11	ENSG00000206561	0.5066115856170654	ENSG00000206561	COLQ
Group_11	ENSG00000178538	0.5052146911621094	ENSG00000178538	CA8
Group_11	ENSG00000196208	0.5040724277496338	ENSG00000196208	GREB1
Group_11	ENSG00000174611	0.5018362402915955	ENSG00000174611	KY
Group_11	ENSG00000142611	0.5016858577728271	ENSG00000142611	PRDM16
Group_12	ENSG00000198719	0.5787174701690674	ENSG00000198719	DLL1
Group_12	ENSG00000181027	0.544621467590332	ENSG00000181027	FKRP
Group_12	ENSG00000151835	0.5426841378211975	ENSG00000151835	SACS
Group_12	ENSG00000196218	0.534619152545929	ENSG00000196218	RYR1
Group_12	ENSG00000138378	0.5324458479881287	ENSG00000138378	STAT4
Group_12	ENSG00000006704	0.5216033458709717	ENSG00000006704	GTF2IRD1
Group_12	ENSG00000206561	0.5207922458648682	ENSG00000206561	COLQ
Group_12	ENSG00000133805	0.5197694301605225	ENSG00000133805	AMPD3
Group_12	ENSG00000141750	0.5160242319107056	ENSG00000141750	STAC2
Group_12	ENSG00000072110	0.5112434029579163	ENSG00000072110	ACTN1
Group_12	ENSG00000048342	0.5079278945922852	ENSG00000048342	CC2D2A
Group_12	ENSG00000106683	0.5057920217514038	ENSG00000106683	LIMK1
Group_12	ENSG00000169432	0.5002377033233643	ENSG00000169432	SCN9A
Group_13	ENSG00000130203	0.6279877424240112	ENSG00000130203	APOE
Group_13	ENSG00000174775	0.592393159866333	ENSG00000174775	HRAS
Group_13	ENSG00000183091	0.584375262260437	ENSG00000183091	NEB
Group_13	ENSG00000166347	0.5591458082199097	ENSG00000166347	CYB5A
Group_13	ENSG00000149575	0.5545458197593689	ENSG00000149575	SCN2B
Group_13	ENSG00000102393	0.547051191329956	ENSG00000102393	GLA
Group_13	ENSG00000001626	0.546336829662323	ENSG00000001626	CFTR
Group_13	ENSG00000198886	0.5398207902908325	ENSG00000198886	MT-ND4
Group_13	ENSG00000131931	0.5396435260772705	ENSG00000131931	THAP1
Group_13	ENSG00000149428	0.5252984166145325	ENSG00000149428	HYOU1
Group_13	ENSG00000133392	0.5222392678260803	ENSG00000133392	MYH11
Group_13	ENSG00000035403	0.5185940265655518	ENSG00000035403	VCL
Group_13	ENSG00000197728	0.5089384317398071	ENSG00000197728	RPS26
Group_13	ENSG00000168484	0.5075423717498779	ENSG00000168484	SFTPC
Group_13	ENSG00000124313	0.5056453943252563	ENSG00000124313	IQSEC2
Group_13	ENSG00000170892	0.5032186508178711	ENSG00000170892	TSEN34
Group_13	ENSG00000140009	0.5014981031417847	ENSG00000140009	ESR2
Group_14	ENSG00000138036	0.6223559379577637	ENSG00000138036	DYNC2LI1
Group_14	ENSG00000039650	0.6039181351661682	ENSG00000039650	PNKP
Group_14	ENSG00000183454	0.5993249416351318	ENSG00000183454	GRIN2A
Group_14	ENSG00000070808	0.5845524072647095	ENSG00000070808	CAMK2A
Group_14	ENSG00000120693	0.5789979100227356	ENSG00000120693	SMAD9
Group_14	ENSG00000077522	0.5643960237503052	ENSG00000077522	ACTN2
Group_14	ENSG00000134769	0.5642976760864258	ENSG00000134769	DTNA
Group_14	ENSG00000122367	0.5628501772880554	ENSG00000122367	LDB3
Group_14	ENSG00000156299	0.5479093790054321	ENSG00000156299	TIAM1
Group_14	ENSG00000149591	0.545682430267334	ENSG00000149591	TAGLN
Group_14	ENSG00000115266	0.542549729347229	ENSG00000115266	APC2
Group_14	ENSG00000175110	0.5380986928939819	ENSG00000175110	MRPS22
Group_14	ENSG00000182871	0.5345436930656433	ENSG00000182871	COL18A1
Group_14	ENSG00000137285	0.5338027477264404	ENSG00000137285	TUBB2B
Group_14	ENSG00000148737	0.5327247381210327	ENSG00000148737	TCF7L2
Group_14	ENSG00000151067	0.5313745737075806	ENSG00000151067	CACNA1C
Group_14	ENSG00000006704	0.5283645391464233	ENSG00000006704	GTF2IRD1
Group_14	ENSG00000113621	0.5258105993270874	ENSG00000113621	TXNDC15
Group_14	ENSG00000004864	0.5247811079025269	ENSG00000004864	SLC25A13
Group_14	ENSG00000160211	0.5221521258354187	ENSG00000160211	G6PD
Group_14	ENSG00000206561	0.5214468240737915	ENSG00000206561	COLQ
Group_14	ENSG00000037474	0.5214072465896606	ENSG00000037474	NSUN2
Group_14	ENSG00000203710	0.5207993984222412	ENSG00000203710	CR1
Group_14	ENSG00000128739	0.5188772678375244	ENSG00000128739	SNRPN
Group_14	ENSG00000070371	0.515308678150177	ENSG00000070371	CLTCL1
Group_14	ENSG00000171094	0.5152109265327454	ENSG00000171094	ALK
Group_14	ENSG00000198626	0.5132732391357422	ENSG00000198626	RYR2
Group_14	ENSG00000006042	0.5130773782730103	ENSG00000006042	TMEM98
Group_14	ENSG00000154447	0.5121759176254272	ENSG00000154447	SH3RF1
Group_14	ENSG00000197816	0.5072025656700134	ENSG00000197816	CCDC180
Group_14	ENSG00000104969	0.5055360198020935	ENSG00000104969	SGTA
Group_14	ENSG00000110931	0.5048438310623169	ENSG00000110931	CAMKK2
Group_14	ENSG00000073350	0.5034703612327576	ENSG00000073350	LLGL2
Group_14	ENSG00000183876	0.5022761821746826	ENSG00000183876	ARSI
Group_14	ENSG00000143499	0.5002680420875549	ENSG00000143499	SMYD2
Group_15	ENSG00000077782	0.7143344879150391	ENSG00000077782	FGFR1
Group_15	ENSG00000118785	0.6127485036849976	ENSG00000118785	SPP1
Group_15	ENSG00000112715	0.6060064435005188	ENSG00000112715	VEGFA
Group_15	ENSG00000204389	0.6027575731277466	ENSG00000204389	HSPA1A
Group_15	ENSG00000172020	0.5822350978851318	ENSG00000172020	GAP43
Group_15	ENSG00000148516	0.5762789845466614	ENSG00000148516	ZEB1
Group_15	ENSG00000123560	0.5750595331192017	ENSG00000123560	PLP1
Group_15	ENSG00000204388	0.5703136324882507	ENSG00000204388	HSPA1B
Group_15	ENSG00000144381	0.5602082014083862	ENSG00000144381	HSPD1
Group_15	ENSG00000136531	0.5509940385818481	ENSG00000136531	SCN2A
Group_15	ENSG00000133019	0.5509086847305298	ENSG00000133019	CHRM3
Group_15	ENSG00000197943	0.5497082471847534	ENSG00000197943	PLCG2
Group_15	ENSG00000151090	0.5491247177124023	ENSG00000151090	THRB
Group_15	ENSG00000067715	0.5448150634765625	ENSG00000067715	SYT1
Group_15	ENSG00000125675	0.5441683530807495	ENSG00000125675	GRIA3
Group_15	ENSG00000116106	0.5393895506858826	ENSG00000116106	EPHA4
Group_15	ENSG00000182621	0.5235679149627686	ENSG00000182621	PLCB1
Group_15	ENSG00000132938	0.5216451287269592	ENSG00000132938	MTUS2
Group_15	ENSG00000002746	0.5209650993347168	ENSG00000002746	HECW1
Group_15	ENSG00000144285	0.5186964869499207	ENSG00000144285	SCN1A
Group_15	ENSG00000138639	0.5158050060272217	ENSG00000138639	ARHGAP24
Group_15	ENSG00000157445	0.5153392553329468	ENSG00000157445	CACNA2D3
Group_15	ENSG00000164418	0.514542281627655	ENSG00000164418	GRIK2
Group_15	ENSG00000154556	0.5102277398109436	ENSG00000154556	SORBS2
Group_15	ENSG00000145730	0.5101275444030762	ENSG00000145730	PAM
Group_15	ENSG00000102466	0.5063444972038269	ENSG00000102466	FGF14
Group_15	ENSG00000107295	0.5055375695228577	ENSG00000107295	SH3GL2
Group_15	ENSG00000096060	0.5055312514305115	ENSG00000096060	FKBP5
Group_15	ENSG00000198626	0.5051520466804504	ENSG00000198626	RYR2
Group_15	ENSG00000099194	0.503694474697113	ENSG00000099194	SCD
Group_15	ENSG00000081189	0.5014370083808899	ENSG00000081189	MEF2C
Group_15	ENSG00000157087	0.5012105107307434	ENSG00000157087	ATP2B2
Group_15	ENSG00000179104	0.5011536478996277	ENSG00000179104	TMTC2
Group_2	ENSG00000080815	0.675048828125	ENSG00000080815	PSEN1
Group_2	ENSG00000133818	0.657196044921875	ENSG00000133818	RRAS2
Group_2	ENSG00000198793	0.6429906487464905	ENSG00000198793	MTOR
Group_2	ENSG00000163913	0.6425012350082397	ENSG00000163913	IFT122
Group_2	ENSG00000065000	0.6367105841636658	ENSG00000065000	AP3D1
Group_2	ENSG00000128739	0.635940670967102	ENSG00000128739	SNRPN
Group_2	ENSG00000166949	0.6312294006347656	ENSG00000166949	SMAD3
Group_2	ENSG00000179455	0.6295740008354187	ENSG00000179455	MKRN3
Group_2	ENSG00000155974	0.6290621757507324	ENSG00000155974	GRIP1
Group_2	ENSG00000074266	0.627130389213562	ENSG00000074266	EED
Group_2	ENSG00000174611	0.6110101938247681	ENSG00000174611	KY
Group_2	ENSG00000172817	0.6054112911224365	ENSG00000172817	CYP7B1
Group_2	ENSG00000095015	0.6038609743118286	ENSG00000095015	MAP3K1
Group_2	ENSG00000171094	0.599873423576355	ENSG00000171094	ALK
Group_2	ENSG00000018236	0.5974425077438354	ENSG00000018236	CNTN1
Group_2	ENSG00000137171	0.5928539037704468	ENSG00000137171	KLC4
Group_2	ENSG00000120071	0.5906869173049927	ENSG00000120071	KANSL1
Group_2	ENSG00000102935	0.5897774696350098	ENSG00000102935	ZNF423
Group_2	ENSG00000163235	0.5875802636146545	ENSG00000163235	TGFA
Group_2	ENSG00000157259	0.5833978652954102	ENSG00000157259	GATAD1
Group_2	ENSG00000108797	0.5819557309150696	ENSG00000108797	CNTNAP1
Group_2	ENSG00000070669	0.5818654894828796	ENSG00000070669	ASNS
Group_2	ENSG00000150995	0.5791587829589844	ENSG00000150995	ITPR1
Group_2	ENSG00000187555	0.5790513753890991	ENSG00000187555	USP7
Group_2	ENSG00000164305	0.5788763761520386	ENSG00000164305	CASP3
Group_2	ENSG00000114279	0.5781034231185913	ENSG00000114279	FGF12
Group_2	ENSG00000144061	0.5743202567100525	ENSG00000144061	NPHP1
Group_2	ENSG00000181027	0.5710200667381287	ENSG00000181027	FKRP
Group_2	ENSG00000071051	0.5705528259277344	ENSG00000071051	NCK2
Group_2	ENSG00000156475	0.5702531337738037	ENSG00000156475	PPP2R2B
Group_2	ENSG00000112186	0.5668851137161255	ENSG00000112186	CAP2
Group_2	ENSG00000143337	0.5648432970046997	ENSG00000143337	TOR1AIP1
Group_2	ENSG00000112367	0.564716637134552	ENSG00000112367	FIG4
Group_2	ENSG00000167193	0.5633202195167542	ENSG00000167193	CRK
Group_2	ENSG00000066032	0.5607762336730957	ENSG00000066032	CTNNA2
Group_2	ENSG00000103942	0.5604355335235596	ENSG00000103942	HOMER2
Group_2	ENSG00000150893	0.559516429901123	ENSG00000150893	FREM2
Group_2	ENSG00000143614	0.5573601722717285	ENSG00000143614	GATAD2B
Group_2	ENSG00000077264	0.5570865273475647	ENSG00000077264	PAK3
Group_2	ENSG00000085733	0.5565191507339478	ENSG00000085733	CTTN
Group_2	ENSG00000160294	0.5556655526161194	ENSG00000160294	MCM3AP
Group_2	ENSG00000113273	0.5537017583847046	ENSG00000113273	ARSB
Group_2	ENSG00000138646	0.5510474443435669	ENSG00000138646	HERC5
Group_2	ENSG00000028277	0.5496572256088257	ENSG00000028277	POU2F2
Group_2	ENSG00000081307	0.5484524965286255	ENSG00000081307	UBA5
Group_2	ENSG00000173715	0.5475228428840637	ENSG00000173715	C11orf80
Group_2	ENSG00000152104	0.5460805296897888	ENSG00000152104	PTPN14
Group_2	ENSG00000156471	0.5436873435974121	ENSG00000156471	PTDSS1
Group_2	ENSG00000182389	0.537100076675415	ENSG00000182389	CACNB4
Group_2	ENSG00000143603	0.5361089706420898	ENSG00000143603	KCNN3
Group_2	ENSG00000196562	0.5349814891815186	ENSG00000196562	SULF2
Group_2	ENSG00000164953	0.5346401929855347	ENSG00000164953	TMEM67
Group_2	ENSG00000113569	0.5331976413726807	ENSG00000113569	NUP155
Group_2	ENSG00000177302	0.5304828882217407	ENSG00000177302	TOP3A
Group_2	ENSG00000103494	0.5299679040908813	ENSG00000103494	RPGRIP1L
Group_2	ENSG00000177646	0.5299633145332336	ENSG00000177646	ACAD9
Group_2	ENSG00000254087	0.5273659229278564	ENSG00000254087	LYN
Group_2	ENSG00000184384	0.527303159236908	ENSG00000184384	MAML2
Group_2	ENSG00000168014	0.525993287563324	ENSG00000168014	C2CD3
Group_2	ENSG00000121989	0.5245367884635925	ENSG00000121989	ACVR2A
Group_2	ENSG00000129682	0.5212752819061279	ENSG00000129682	FGF13
Group_2	ENSG00000151247	0.5205513834953308	ENSG00000151247	EIF4E
Group_2	ENSG00000099204	0.5193508267402649	ENSG00000099204	ABLIM1
Group_2	ENSG00000048740	0.5173506736755371	ENSG00000048740	CELF2
Group_2	ENSG00000082781	0.5169563889503479	ENSG00000082781	ITGB5
Group_2	ENSG00000135540	0.5166633129119873	ENSG00000135540	NHSL1
Group_2	ENSG00000174842	0.5159085988998413	ENSG00000174842	GLMN
Group_2	ENSG00000025434	0.515885055065155	ENSG00000025434	NR1H3
Group_2	ENSG00000141076	0.5140847563743591	ENSG00000141076	UTP4
Group_2	ENSG00000154447	0.5132964849472046	ENSG00000154447	SH3RF1
Group_2	ENSG00000112130	0.5083833336830139	ENSG00000112130	RNF8
Group_2	ENSG00000165973	0.5083414316177368	ENSG00000165973	NELL1
Group_2	ENSG00000170734	0.507598876953125	ENSG00000170734	POLH
Group_2	ENSG00000113845	0.5073570609092712	ENSG00000113845	TIMMDC1
Group_2	ENSG00000101605	0.5059401988983154	ENSG00000101605	MYOM1
Group_2	ENSG00000136143	0.504507303237915	ENSG00000136143	SUCLA2
Group_2	ENSG00000079308	0.5040310025215149	ENSG00000079308	TNS1
Group_2	ENSG00000049323	0.5032930374145508	ENSG00000049323	LTBP1
Group_2	ENSG00000119326	0.50296950340271	ENSG00000119326	CTNNAL1
Group_2	ENSG00000151466	0.5005947351455688	ENSG00000151466	SCLT1
Group_2	ENSG00000127080	0.5004674196243286	ENSG00000127080	IPPK
Group_3	ENSG00000165731	0.7167275547981262	ENSG00000165731	RET
Group_3	ENSG00000087085	0.698951005935669	ENSG00000087085	ACHE
Group_3	ENSG00000126351	0.6495416164398193	ENSG00000126351	THRA
Group_3	ENSG00000131828	0.6406265497207642	ENSG00000131828	PDHA1
Group_3	ENSG00000131931	0.6395089626312256	ENSG00000131931	THAP1
Group_3	ENSG00000087460	0.6273345947265625	ENSG00000087460	GNAS
Group_3	ENSG00000119718	0.6239567399024963	ENSG00000119718	EIF2B2
Group_3	ENSG00000198786	0.6238904595375061	ENSG00000198786	MT-ND5
Group_3	ENSG00000149428	0.6096542477607727	ENSG00000149428	HYOU1
Group_3	ENSG00000142208	0.6008495092391968	ENSG00000142208	AKT1
Group_3	ENSG00000128422	0.5950585603713989	ENSG00000128422	KRT17
Group_3	ENSG00000198888	0.5936538577079773	ENSG00000198888	MT-ND1
Group_3	ENSG00000168646	0.5916032791137695	ENSG00000168646	AXIN2
Group_3	ENSG00000168264	0.59049391746521	ENSG00000168264	IRF2BP2
Group_3	ENSG00000125356	0.5893477201461792	ENSG00000125356	NDUFA1
Group_3	ENSG00000160211	0.5873582363128662	ENSG00000160211	G6PD
Group_3	ENSG00000126583	0.5865780115127563	ENSG00000126583	PRKCG
Group_3	ENSG00000131462	0.5848825573921204	ENSG00000131462	TUBG1
Group_3	ENSG00000115286	0.582537055015564	ENSG00000115286	NDUFS7
Group_3	ENSG00000198938	0.5809582471847534	ENSG00000198938	MT-CO3
Group_3	ENSG00000269335	0.5807161927223206	ENSG00000269335	IKBKG
Group_3	ENSG00000170606	0.5792450904846191	ENSG00000170606	HSPA4
Group_3	ENSG00000077522	0.5779848098754883	ENSG00000077522	ACTN2
Group_3	ENSG00000178057	0.5769858360290527	ENSG00000178057	NDUFAF3
Group_3	ENSG00000116133	0.5758426785469055	ENSG00000116133	DHCR24
Group_3	ENSG00000198727	0.5732401609420776	ENSG00000198727	MT-CYB
Group_3	ENSG00000148290	0.5717000961303711	ENSG00000148290	SURF1
